id,SMILES,MLM,HLM,AlogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_RotatableBonds,LogD,Molecular_PolarSurfaceArea,Position,MLM_raw,HLM_raw
TRAIN_0000,CCOc1ccc(CNC(=O)c2cc(-c3sc(C)nc3C)n[nH]2)cc1OCC,26.01,50.68,3.259,400.495,5,2,8,3.259,117.37,CPK-M1-013686-F06,26.01130011,50.67583168
TRAIN_0001,Cc1nc(C)c(CN2CC(C)C(=O)Nc3ccccc32)s1,29.27,50.59,2.169,301.407,2,1,2,2.172,73.47,CPK-M1-013687-E11,29.2740242,50.59353402
TRAIN_0002,CCCN1CCN(c2nn3nnnc3c3ccccc23)CC1,5.586,80.892,1.593,297.358,5,0,3,1.585,62.45,CPK-M1-008577-D04,5.58608271,80.89181778
TRAIN_0003,Cc1ccc(-c2ccc(-n3nc(C)c(S(=O)(=O)N4CCN(C5CCCCC5)CC4)c3C)nn2)cc1,5.71,2,4.771,494.652,6,0,5,3.475,92.6,CPK-M1-018172-B05,5.712696518,1.995993573
TRAIN_0004,Cc1ccc2c(c1)N(C(=O)c1ccncc1)CC(C)O2,93.27,99.99,2.335,268.31,3,0,1,2.337,42.43,CPK-M1-018169-G07,93.26644475,>99.99
TRAIN_0005,COc1c(F)c(F)cc2c(=O)c(C(=O)NCCCN3CCCC3=O)cn(C3CC3)c12,27.64,66.63,1.335,419.422,4,1,7,1.335,78.95,CPK-M1-018173-F12,27.6362864,66.63459315
TRAIN_0006,CN(C)c1cccc2c(S(=O)(=O)NC(CC(=O)O)C(=O)O)cccc12,82.107,69.25,1.954,547.707,7,4,9,0.464,144.42,CPK-M1-010393-A03,82.10708927,69.24964124
TRAIN_0007,C1=Cn2nc(/C=C/c3cccs3)nc2-c2ccccc2O1,2.673,25.121,2.967,293.343,3,0,2,2.967,68.18,CPK-M1-009578-F09,2.672852693,25.12126226
TRAIN_0008,COc1ccc2nc(C3=CCCN(C)C3)n(C)c2c1,74.519,71.471,-0.946,347.366,7,2,3,-0.723,104.89,CPK-M1-009579-C11,74.51863697,71.47074603
TRAIN_0009,CCN1CCCC1CNC(=O)C1CCCN(c2ncnc3[nH]cnc23)C1,73.417,76.291,1.259,357.453,5,2,5,-0.373,90.04,CPK-M1-010397-F03,73.41685424,76.29134383
TRAIN_0010,CN(C1CCNCC1)S(=O)(=O)c1ccc(Cl)s1,56.9,40.158,0.767,294.821,3,1,3,0.388,86.03,CPK-M1-008581-B06,56.9,40.15806432
TRAIN_0011,CC1CN(Cc2cncs2)CCN1CC(C)(C)O,32.668,94.151,0.814,269.406,4,1,4,-0.591,67.84,CPK-M1-010397-G04,32.66831427,94.15057946
TRAIN_0012,Nc1nc(N2CCN(c3ccccc3Cl)CC2)nc2ccccc12,0.761,4.273,4.157,339.822,2,1,2,4.157,58.28,CPK-M1-009574-H09,0.76063192,4.272972678
TRAIN_0013,CC(C)c1ccc(CCCNS(C)(=O)=O)cc1,66.24,63.68,2.719,255.376,2,1,6,2.721,54.55,CPK-M1-013688-C12,66.23511253,63.68137055
TRAIN_0014,Oc1cc(-c2ccc(-c3ccc(Br)cc3)cc2)nn1-c1ccccn1,69.28,99,5.541,392.249,3,1,3,5.539,50.94,CPK-M1-013693-G08,69.27599431,>99
TRAIN_0015,COc1cc(Nc2ncc(-c3cnn(C)c3)c(Nc3ccc4c(c3)CNCC4)n2)cc(OC)c1,48.42,82.81,3.959,457.528,6,3,7,3.95,98.15,CPK-M1-018171-H06,48.4172202,82.80841255
TRAIN_0016,Cc1[nH]c(=O)[nH]c(=O)c1S(=O)(=O)NCC1CCCO1,59.496,66.631,-1.524,289.308,5,3,4,-1.424,121.98,CPK-M1-010393-G12,59.49629493,66.63074134
TRAIN_0017,COCCN(CC1CCCN(C2Cc3ccccc3C2)C1)C(=O)Cc1c[nH]c2ccccc12,1.776,5.529,4.143,445.596,3,1,8,3.318,48.57,CPK-M1-009571-H03,1.775849129,5.528509485
TRAIN_0018,O=C(O)C1C(c2ccccc2)C(C(=O)O)C1c1ccccc1,65.85,91.84,2.762,296.317,4,2,4,-0.125,74.6,CPK-M1-013683-B09,65.85259603,91.84217911
TRAIN_0019,CCC(CO)Nc1ncc2cc3ccccc3nc2c1C#N,13.856,42.906,2.791,292.335,4,2,4,3.045,81.83,CPK-M1-009576-B07,13.8557083,42.90602183
TRAIN_0020,CNC(=O)c1cc(Cl)cc(C)c1NC(=O)c1cc(Br)nn1-c1c(F)c(F)cc(F)c1F,99,83.03,5.295,519.675,3,2,4,5.295,76.02,CPK-M1-013685-E05,>99,83.02733084
TRAIN_0021,CCCc1nn2c(N)c(C#N)nnc2c1-c1ccc(F)cc1,33.778,51.664,2.865,296.302,4,1,3,2.865,92.89,CPK-M1-009569-D08,33.77806312,51.66397292
TRAIN_0022,O=C(C1CC(=O)N(c2n[nH]c3cc(Br)ccc23)C1)N1CCCC1,99.9,99.9,1.907,377.236,3,1,2,1.907,69.3,CPK-M1-008582-F04,>99,>99
TRAIN_0023,COCCCNC(=O)C1CCC(CN(Cc2c(Cl)cccc2Cl)S(=O)(=O)c2ccc(Br)cc2)CC1,0,0,5.491,606.4,4,1,11,5.491,84.09,CPK-M1-009579-A06,0,0
TRAIN_0024,Cc1noc(C)c1Cc1c(C(=O)N2CCC(Cc3nc(C4CCOCC4)no3)CC2)noc1C,3.39,1.36,1.854,469.533,6,0,6,1.854,120.52,CPK-M1-013683-F10,3.386010988,1.357282654
TRAIN_0025,Cc1cc(C)cc(N/C(N)=N/Cc2nc(C(C)(C)C)cs2)c1,0.17,0.07,4.034,316.464,2,2,5,4.053,91.54,CPK-M1-018173-A04,0.167938591,0.068560442
TRAIN_0026,CCS(=O)(=O)c1nc(S(=O)(=O)c2ccc(Cl)cc2)c(NC2CCCC2)s1,0.09,21.6,4.343,434.981,5,1,6,4.343,138.19,CPK-M1-018179-F11,0.089833341,21.60020842
TRAIN_0027,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,73.73,99,2.021,290.268,6,5,1,2.01,110.38,CPK-M1-013697-D03,73.73293336,>99
TRAIN_0028,CC(C)CCN(C)C1CCN(S(=O)(=O)c2ccc(C(C)(C)C)cc2)CC1,3.855,54.218,4.038,380.588,3,0,7,2.478,49,CPK-M1-009574-D11,3.855268751,54.21782384
TRAIN_0029,CC(C)Cn1c(NCCN(C)C)nc2c1c(=O)[nH]c(=O)n2C,94.6,99,1.375,308.379,4,2,6,-0.111,82.5,CPK-M1-013686-C10,94.5970926,>99
TRAIN_0030,O=C(c1nccc2ccccc12)N1CCc2cc(-c3ccno3)ccc21,1.814,4.124,3.345,341.363,3,0,2,3.345,59.23,CPK-M1-009571-H09,1.813530365,4.123853372
TRAIN_0031,Cc1nc2nc(CCNS(=O)(=O)c3cccs3)cn2nc1C,94.33,99,1.027,337.42,5,1,5,1.009,125.87,CPK-M1-013694-G06,94.32947624,>99
TRAIN_0032,c1ccc2c(c1)OCC(c1csc(C3COc4ccccc4O3)n1)O2,55.941,78.013,3.703,353.392,5,0,2,3.703,78.05,CPK-M1-010395-E10,55.94119279,78.01260957
